caller_surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,query_fields,path_fields,body_fields,header_fields,parameter_source,requested_start,requested_end,accepted_start,accepted_end,timezone,time_fields_and_units,page_size_fields,request_payload,http_status,business_status,response_type,response_keys,record_count,non_empty,auth_role,side_effect,before_after_change,original_surface,original_module,original_name,original_source_file,classification,currently_used,evidence,note
admin,Member Management,Inviter Transfer Records,/member-management/inviter-transfer-records,date_range_filter,registered Query/Search [90d],GET,/admin/promo/invite/friends/transfer/list,created_end_at | created_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-06-05,2026-09-03,2026-06-05 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""created_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199000""}, ""created_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1780588800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,0,False,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,好友转线列表,后台/运营管理/邀请好友/好友转线列表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Member Management,Inviter Transfer Records,/member-management/inviter-transfer-records,date_range_filter,registered Query/Search [365d],GET,/admin/promo/invite/friends/transfer/list,created_end_at | created_start_at | page | page_size,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2025-09-03,2026-09-03,2025-09-03 00:00:00,2026-09-03 23:59:59,Asia/Manila,"{""created_end_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199000""}, ""created_start_at"": {""unit"": ""epoch_milliseconds"", ""value"": ""1756828800000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,d | t,11,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,promo,好友转线列表,后台/运营管理/邀请好友/好友转线列表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Agent Management,Agency statistical report,/agency-management/agency-statistical,date_range_filter,registered Query/Search [7d],GET,/admin/reports/agency,end_time | field | page | page_size | sort | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27,2026-09-03,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,a | d | t,2,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,report,代理统计报表,后台/代理管理/代理统计报表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Report Management,Game Reports,/report-management/game-reports/list,date_range_filter,registered Query/Search [7d],GET,/admin/reports/game/node,end_time | field | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27,2026-09-03,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""10""}",opaque unspecified (0 bytes),200,True,object,a | d | s | t,10,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,game,游戏线路报表,后台/报表/游戏报表/游戏线路报表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Report Management,Game Type Reports,/report-management/game-types-report/list,date_range_filter,registered Query/Search [7d],GET,/admin/reports/gameclass/node,end_time | field | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27,2026-09-03,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""10""}",opaque unspecified (0 bytes),200,True,object,a | d | s | t,10,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,game,游戏类型线路报表,后台/报表/游戏类型报表/游戏类型线路报表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Report Management,Game Platform Reports,/report-management/game-platform-report/list,date_range_filter,registered Query/Search [7d],GET,/admin/reports/venue/node,end_time | field | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27,2026-09-03,Asia/Manila,"{""end_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1788451199999""}, ""start_time"": {""unit"": ""epoch_milliseconds"", ""value"": ""1787760000000""}}","{""page"": ""1"", ""page_size"": ""10""}",opaque unspecified (0 bytes),200,True,object,a | d | s | t,10,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,game,厂商线路报表,后台/报表/游戏平台报表/厂商线路报表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Report Management,Member Daily Stats,/report-management/member-daily-stats,date_range_filter,registered Query/Search [7d],GET,/admin/reports/member,end_time | field | page | page_size | start_time,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27,2026-09-03,Asia/Manila,"{""end_time"": {""unit"": ""date_or_datetime_string"", ""value"": ""2026-09-03""}, ""start_time"": {""unit"": ""date_or_datetime_string"", ""value"": ""2026-08-27""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,a | d | s | t,16,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,report,个人统计--列表,后台/报表管理/个人统计--列表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Report Management,Member Daily Game Stats,/report-management/member-daily-game-stats,date_range_filter,registered Query/Search [7d],GET,/admin/reports/member-daily-game/aggregate,end_date | field | page | page_size | start_date,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27,2026-09-03,Asia/Manila,"{""end_date"": {""unit"": ""date_or_datetime_string"", ""value"": ""2026-09-03""}, ""start_date"": {""unit"": ""date_or_datetime_string"", ""value"": ""2026-08-27""}}","{""page"": ""1"", ""page_size"": ""20""}",opaque unspecified (0 bytes),200,True,object,a | d | s | subtotal | t,14,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,game,会员每日游戏报表--汇总列表,后台/报表管理/会员每日游戏报表--汇总列表.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Deposit Record,/payment/recharge-orders/list,date_range_filter,registered Query/Search [7d],POST,/admin/finance/deposit/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (56 bytes),200,True,object,d | s | summary | t,20,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,充值列表-wesley,后台/财务管理/存款记录/充值列表-wesley.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
admin,Finance Management,Withdrawal Record,/payment/withdraw-orders/list,date_range_filter,registered Query/Search [7d],POST,/admin/finance/withdraw/list,,,,not persisted; auth/device values excluded,visible Start/End date controls; existing page size preserved,2026-08-27,2026-09-03,2026-08-27 00:00:00,2026-09-03 23:59:59,Asia/Manila,{},{},opaque application/json (56 bytes),200,True,object,d | s | summary | t,20,True,authenticated FAT admin; existing role/permission session reused,none (read-only query),none,admin,finance,提现列表-wesley,后台/财务管理/提现记录/提现列表-wesley.bru,ACTIVE,yes,validated visible DOM values + same-action FAT Network response,request body values not claimed when payload was opaque
