surface,menu,page,page_route,control_type,action,method,origin,normalized_path,query_fields,body_fields,parameter_sources,http_status,business_status,response_shape,auth_role,actual_side_effect,before_after_change,document_category,document_name,document_source,classification,currently_used,evidence,exception_blocked_scope,request_count
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/fav/list,page|page_size,,header:t<-authenticated-session;query:page|page_size<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,游戏收藏列表-light,前台/游戏/游戏收藏列表-light.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1181,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/fb/list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,三方登录列表,前台/三方登录/三方登录列表.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1152,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/index,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,首页缓存,前台/游戏/首页缓存.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1166,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/materials/list,material_type_code|platform_code,,header:t<-authenticated-session;query:material_type_code|platform_code<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,素材列表,前台/素材/素材列表.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1167|1168|1169,,3
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/message/has_unread,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,是否有未读信息-todo,前台/站内信/是否有未读信息-todo.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1154|1162,,2
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/message/popup_list,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,获取弹窗站内信列表-todo,前台/站内信/获取弹窗站内信列表-todo.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1182,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/system,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,获取系统配置,前台/配置/获取系统配置.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1160,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/v2/index,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,首页缓存v2-owen,前台/游戏/首页缓存v2-owen.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1165|1184,,2
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/vip/level/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,会员vip等级详情,前台/VIP/会员vip等级详情.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1156,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/vip/rule,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,VIP配置规则-todo,前台/VIP/VIP配置规则-todo.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1171,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/blindbox/detail,pid|ym,,header:t<-authenticated-session;query:pid|ym<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,获取盲盒详情 - felix,活动/盲盒/获取盲盒详情 - felix.bru,MISCLASSIFIED,yes,fat-client-network.json action=bet_history__page_initialization; records=1172,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/blindbox/query/bonus,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,查询盲盒待领取记录,活动/盲盒/查询盲盒待领取记录.bru,MISCLASSIFIED,yes,fat-client-network.json action=bet_history__page_initialization; records=1163,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/deposit/ladder/deposit/conf,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/finance,存款阶梯配置活动,活动/存款阶梯活动/存款阶梯配置活动.bru,MISCLASSIFIED,yes,fat-client-network.json action=bet_history__page_initialization; records=1159,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/filpcard/detail,pid,,header:t<-authenticated-session;query:pid<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,活动详情,活动/王牌活动/活动详情.bru,MISCLASSIFIED,yes,fat-client-network.json action=bet_history__page_initialization; records=1174|1185,,2
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/rotate/kyc/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/kyc,详情,活动/kyc送免费旋转/详情.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1153|1170|1178|1179|1188,,5
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/slot/machine/detail,pid,,header:t<-authenticated-session;query:pid<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,实时滚动有效投注top100|实时滚动负盈利排行榜|排行榜详情,活动/老虎机排行榜/实时滚动有效投注top100.bru|活动/老虎机排行榜/实时滚动负盈利排行榜.bru|活动/老虎机排行榜/排行榜详情.bru,MISCLASSIFIED,yes,fat-client-network.json action=bet_history__page_initialization; records=1183,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/turntable/detail,,,header:t<-authenticated-session,200,false,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,活动详情,活动/大转盘活动/活动详情.bru,ACTIVE_FAILED,yes,fat-client-network.json action=bet_history__page_initialization; records=1175|1186,business status false,2
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/turntable/num,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,unknown/promo,剩余次数,活动/大转盘活动/剩余次数.bru,MISCLASSIFIED,yes,fat-client-network.json action=bet_history__page_initialization; records=1187,,1
client,My,Bet History,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/promo/vip/sign/in/config,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/promo,签到配置,活动/Vip/签到配置.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1157|1164,,2
client,My,Bet History,/my,page,page initialization,POST,https://client-fat.filbet2025.com,/member/channel/trackclick,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),request emitted; no durable business change observed by this discovery action,no state identifier returned or persisted in sanitized evidence,client/member,渠道跟踪点击-todo,前台/渠道/渠道跟踪点击-todo.bru,ACTIVE,yes,fat-client-network.json action=bet_history__page_initialization; records=1177,,1
client,My,Bet History,/my,page,page initialization,POST,https://web-pp6o4v.opoinstalljs.com,/web/pp6o4v/clientf/init2,av|channelCode|cv|hash|sh|sp|sw,,query:av|channelCode|cv|hash|sh|sp|sw<-page/filter/pagination/default,200,UNAVAILABLE,"""number""",guest or no auth header observed,request emitted; no durable business change observed by this discovery action,no state identifier returned or persisted in sanitized evidence,,,,THIRD_PARTY,yes,fat-client-network.json action=bet_history__page_initialization; records=1189,,1
client,My,Bet History,/my,button,primary navigation/action,GET,https://client-fat.filbet2025.com,/member/game/bet/list,page|page_size|time_flag,,header:t<-authenticated-session;query:page|page_size|time_flag<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/game,游戏记录-wesley,前台/游戏/游戏记录-wesley.bru,ACTIVE,yes,fat-client-network.json action=bet_history__primary_navigation_action; records=1190,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/finance/wallet,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/finance,会员钱包-wesley,前台/财务/会员钱包-wesley.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1199|1223,,2
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/buriedPoint/detailV2,ad_id,,header:t<-authenticated-session;query:ad_id<-page/filter/pagination/default,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,埋点详情V2-todo,前台/埋点/埋点详情V2-todo.bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1214,,1
client,My,Bonus,/my,page,page initialization,GET,https://client-fat.filbet2025.com,/member/detail,,,header:t<-authenticated-session,200,true,"{""type"":""object"",""fields"":[""data"",""status""]}",authenticated client session (t header),none observed,not applicable/read-only,client/member,获取会员信息-seven-aliang(20260424),前台/会员信息/获取会员信息-seven-aliang(20260424).bru,ACTIVE,yes,fat-client-network.json action=bonus__page_initialization; records=1196|1202|1217,,3
