method,origin,normalized_path,classification,pages,actions,http_status,business_status,auth_role,actual_side_effect,document_category,document_name,request_count
GET,https://client-fat.filbet2025.com,/member/fb/list,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Home (guest)|Login|My|My Free Spins|Register|Rewards|Sidebar|Sidebar (guest)|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/member,三方登录列表,31
GET,https://client-fat.filbet2025.com,/member/filcoin/balance,ACTIVE,Earn Filcoins|Filcoins Mall|My Free Spins|Rewards|Sidebar,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|primary navigation/action,200,true,authenticated client session (t header),none observed,client/member,代币余额 - felix,15
GET,https://client-fat.filbet2025.com,/member/game/bet/list,ACTIVE,Bet History,primary navigation/action,200,true,authenticated client session (t header),none observed,client/game,游戏记录-wesley,1
GET,https://client-fat.filbet2025.com,/member/game/listRw,ACTIVE,Earn Filcoins|Game,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|open Providers|open Sort By|page initialization|select Arcade tab|select Live tab|select Lottery tab|select Table tab|sort Newest,200,true,authenticated client session (t header),none observed,client/game,游戏查询语句组合-benjie,13
GET,https://client-fat.filbet2025.com,/member/goods/list,ACTIVE,Filcoins Mall,primary navigation/action,200,true,authenticated client session (t header),none observed,client/member,商品列表 - felix,1
GET,https://client-fat.filbet2025.com,/member/home/sections,ACTIVE,Earn Filcoins|Home|Home (guest)|Login|Register|Sidebar|Sidebar (guest),daily task Go 6|daily task Go 7|daily task Go 8|page initialization|password login|refresh balance,200,true,authenticated client session (t header),none observed,client/member,首页板块列表,11
GET,https://client-fat.filbet2025.com,/member/index,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Home (guest)|Login|My|My Free Spins|Register|Rewards|Sidebar|Sidebar (guest)|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/game,首页缓存,31
GET,https://client-fat.filbet2025.com,/member/introduce/complex,ACTIVE,My Free Spins|Rewards,page initialization,200,true,authenticated client session (t header),none observed,client/member,网站介绍,2
GET,https://client-fat.filbet2025.com,/member/kyc/detail,ACTIVE,Account,primary navigation/action,200,true,authenticated client session (t header),none observed,client/kyc,获取 kyc 详情 -- double/cold,1
GET,https://client-fat.filbet2025.com,/member/materials/list,ACTIVE,Account|Bet History|Bonus|Deposit|Earn Filcoins|Filcoins Mall|Game|Home|Home (guest)|Login|My|My Free Spins|Register|Rewards|Sidebar|Sidebar (guest)|Transaction|VIP Center|Withdraw,daily task Go 1|daily task Go 2|daily task Go 3|daily task Go 4|daily task Go 5|daily task Go 6|daily task Go 7|daily task Go 8|daily task Go 9|page initialization|password login|primary navigation/action|refresh balance|start first free-spin game,200,true,authenticated client session (t header),none observed,client/member,素材列表,99
