method,path,document_name,document_category,document_source,classification,ui_evidence,reason
GET,/member/fb/info,获取用户信息,client/member,前台/三方登录/获取用户信息.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/fb/list,三方登录列表,client/member,前台/三方登录/三方登录列表.bru,ACTIVE,fat-client-network.json action=account__page_initialization; records=1248|fat-client-network.json action=bet_history__page_initialization; records=1152|fat-client-network.json action=bonus__page_initialization; records=1219|fat-client-network.json action=deposit__page_initialization; records=1026|fat-client-network.json action=earn_filcoins__daily_task_go_1; records=515|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=553|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=591|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=629|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=667|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=685|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=755|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=796|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=855|fat-client-network.json action=earn_filcoins__page_initialization; records=468|fat-client-network.json action=filcoins_mall__page_initialization; records=899|fat-client-network.json action=free_spins__page_initialization; records=375|fat-client-network.json action=free_spins__start_first_free_spin_game; records=440|fat-client-network.json action=game__page_initialization; records=933|fat-client-network.json action=home__page_initialization; records=160|fat-client-network.json action=home__refresh_balance; records=202|fat-client-network.json action=home_guest__page_initialization; records=20|fat-client-network.json action=login__page_initialization; records=49|fat-client-network.json action=login_success__password_login; records=99|fat-client-network.json action=my__page_initialization; records=317|fat-client-network.json action=register__page_initialization; records=73|fat-client-network.json action=rewards__page_initialization; records=352|fat-client-network.json action=sidebar__page_initialization; records=249|fat-client-network.json action=sidebar_guest__page_initialization; records=37|fat-client-network.json action=transaction__page_initialization; records=1131|fat-client-network.json action=vip__page_initialization; records=972|fat-client-network.json action=withdraw__page_initialization; records=1084,observed in FAT UI Network
GET,/member/fb/url,fb-获取fb地址,client/member,前台/三方登录/fb-获取fb地址.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/feedback/history,feedback history-ducky,client/member,前台/feedback/feedback history-ducky.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/filcoin/balance,代币余额 - felix,client/member,前台/商城/代币余额 - felix.bru,ACTIVE,fat-client-network.json action=earn_filcoins__daily_task_go_1; records=495|fat-client-network.json action=earn_filcoins__daily_task_go_2; records=533|fat-client-network.json action=earn_filcoins__daily_task_go_3; records=571|fat-client-network.json action=earn_filcoins__daily_task_go_4; records=609|fat-client-network.json action=earn_filcoins__daily_task_go_5; records=647|fat-client-network.json action=earn_filcoins__daily_task_go_6; records=688|fat-client-network.json action=earn_filcoins__daily_task_go_7; records=740|fat-client-network.json action=earn_filcoins__daily_task_go_8; records=798|fat-client-network.json action=earn_filcoins__daily_task_go_9; records=836|870|fat-client-network.json action=earn_filcoins__page_initialization; records=458|fat-client-network.json action=filcoins_mall__page_initialization; records=884|fat-client-network.json action=free_spins__page_initialization; records=381|fat-client-network.json action=rewards__page_initialization; records=340|fat-client-network.json action=sidebar__primary_navigation_action; records=280,observed in FAT UI Network
GET,/member/game/bet/list,游戏记录-wesley,client/game,前台/游戏/游戏记录-wesley.bru,ACTIVE,fat-client-network.json action=bet_history__primary_navigation_action; records=1190,observed in FAT UI Network
GET,/member/game/list,游戏列表-light,client/game,前台/游戏/游戏列表-light.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/game/list/history,历史游戏列表-light,client/game,前台/游戏/历史游戏列表-light.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/game/list/recent,最近游戏-benjie,client/game,前台/游戏/最近游戏-benjie.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
GET,/member/game/list/recommend,推荐列表-benjie,client/game,前台/游戏/推荐列表-benjie.bru,DOCUMENTED_UNVERIFIED,,not observed in the current UI interaction coverage; reachability and staleness not yet proven
